period,keyword,avg_hits,pct_zero,max_hit,n_obs
2015-01-01,double disc court + ddc frisbee + escape frisbee,16.2,0.7,55,10
2016-01-01,double disc court + ddc frisbee + escape frisbee,7.416666666666667,0.8333333333333334,45,12
2017-01-01,double disc court + ddc frisbee + escape frisbee,7.583333333333333,0.8333333333333334,49,12
2018-01-01,double disc court + ddc frisbee + escape frisbee,3.25,0.9166666666666666,39,12
2019-01-01,double disc court + ddc frisbee + escape frisbee,0,1,0,12
2020-01-01,double disc court + ddc frisbee + escape frisbee,19.166666666666664,0.5,45,12
2021-01-01,double disc court + ddc frisbee + escape frisbee,15.916666666666668,0.5833333333333334,44,12
2022-01-01,double disc court + ddc frisbee + escape frisbee,21.666666666666664,0.5,91,12
2023-01-01,double disc court + ddc frisbee + escape frisbee,19.333333333333332,0.5,50,12
2024-01-01,double disc court + ddc frisbee + escape frisbee,7.833333333333333,0.8333333333333334,48,12
2025-01-01,double disc court + ddc frisbee + escape frisbee,32.5,0.5,80,12
2026-01-01,double disc court + ddc frisbee + escape frisbee,54,0,100,3
